"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.350378777831793 0.733202117262408 0.423088840208948 0.201876001199707 0.726951607502997 0.418528572656214 0.674960564821959 0.309210589388385 0.865982121787965 0.430338837206364
"2" 0.285079478286207 0.937184120062739 0.528914695372805 0.943528889212757 0.392283593537286 0.4257618249394 0.406520992983133 0.732140065403655 0.582831323845312 0.723083581309766
"3" 0.536885375156999 0.860568489413708 0.804012262495235 0.0822485215030611 0.374363041017205 0.670359262265265 0.265401690034196 0.707697697682306 0.0860676553566009 0.797762562055141
"4" 0.184861811809242 0.935199914500117 0.0924811186268926 0.581172773847356 0.885136707453057 0.354100140975788 0.246134782675654 0.453231365652755 0.122398983221501 0.28694012016058
"5" 0.185015557100996 0.94783175108023 0.922268826747313 0.740376545349136 0.935352433472872 0.833848604001105 0.240029531996697 0.946241304976866 0.911398337455466 0.840378053020686
"6" 0.695309195667505 0.260857732500881 0.768345743184909 0.596953694475815 0.569964147405699 0.118105528410524 0.807251179823652 0.204285628395155 0.00983979436568916 0.445593751966953
"7" 0.947958896169439 0.544063046807423 0.742502607405186 0.730420163366944 0.616876714397222 0.0791658859234303 0.69204938551411 0.27827908936888 0.142002899898216 0.212126589380205
"8" 0.643593871966004 0.224429097026587 0.840371608734131 0.275051353499293 0.985190384089947 0.798374020960182 0.794614929240197 0.327303071273491 0.106366616440937 0.757618205854669
"9" 0.312813272234052 0.402837094850838 0.425938870059326 0.174083208898082 0.3914674827829 0.665908715920523 0.101730701280758 0.242458200780675 0.255182539112866 0.573401202214882
"10" 0.994134270586073 0.534902551444247 0.198858475545421 0.487460740609095 0.185814335476607 0.976011903723702 0.0907408841885626 0.800223972881213 0.679502698592842 0.47738273954019
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.435811999253929 0.771843031747267 0.745292873354629 0.805435271700844 0.155622306512669 0.791475277626887 0.0610866083297879 0.0507791405543685 0.181334480410442 0.852528809802607
"2" 0.593620221829042 0.372871002648026 0.868998274672776 0.760228661354631 0.767710276180878 0.157227373681962 0.425651281140745 0.574713254347444 0.885035869199783 0.462201609741896
"3" 0.805753471329808 0.148544907802716 0.482025558827445 0.199081949656829 0.441460959846154 0.449667259119451 0.566994976485148 0.230419174768031 0.0944799338467419 0.928116932278499
"4" 0.580376411788166 0.379203272052109 0.309900877531618 0.330033564008772 0.480994682759047 0.324675340671092 0.49716917029582 0.823713097954169 0.863919091643766 0.6343677516561
"5" 0.956793498015031 0.78430376551114 0.502122158184648 0.610507234465331 0.249369395896792 0.991408025845885 0.237673562485725 0.0461719047743827 0.443210134049878 0.104361337376758
"6" 0.621752569684759 0.309153188951313 0.477969810599461 0.423365270253271 0.548368080984801 0.133733637398109 0.186184805352241 0.12316089309752 0.232545542763546 0.349718570709229
"7" 0.379483797587454 0.918368784710765 0.11431170697324 0.78632283792831 0.573010589461774 0.741186867235228 0.299097538227215 0.05274204374291 0.740388054400682 0.434901151806116
"8" 0.0251239174976945 0.245004024589434 0.999395836144686 0.772131745703518 0.631985499290749 0.62741165375337 0.0752198933623731 0.874333378626034 0.509794244077057 0.956152535742149
"9" 0.270615929737687 0.656797684496269 0.242346732644364 0.830902312649414 0.435950184706599 0.47846928332001 0.666464706417173 0.707834139466286 0.0886036637239158 0.388591051567346
"10" 0.489539160160348 0.105414759367704 0.410935673397034 0.341505089076236 0.478797665098682 0.524604505626485 0.426474208943546 0.622486358042806 0.130365544231609 0.578270750353113
